deg_status;hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;jn;var_source_Gamma1_2;var_source_Gamma1_full;hatrho_J2;hateta3_J2;hateta3_full2;var2_source_Gamma1;var2_source_Gamma2;var2_source_Gamma3;jn2;var2_source_Gamma1_2;var2_source_Gamma1_full;n1;n2;rho1;rho2;alpha;r;mean;sigma
0;0.202065312774225;0.564186234342864;0.0208240571264343;0.0148451591662779;0.00274934302357125;0.00251287861872031;10636;0.0102527850484311;0.00270670976515379;0.500282060925164;0.477789247950853;0.119591296493456;0.00580069212155454;0.000292272272394964;0.000379156349647827;10636;0.00251868399255058;0.0028001761452113;200;200;0.2;0.5;1.75;3;0.5;0.01
0;0.598987714679706;0.544358812133133;0.190280506153646;0.00771291347371321;0.000255714891343801;0.000294660863831643;10636;0.00457259739696425;0.00371253727398661;0.500282060925164;0.477789247950853;0.119591296493456;0.00580069212155454;0.000292272272394964;0.000379156349647827;10636;0.00251868399255058;0.0028001761452113;200;200;0.6;0.5;1.75;3;0.5;0.01
0;1.00000000000003;0.369795449536152;0.367978076653122;0.00245217591751917;1.99970650967915e-05;7.26728996778235e-05;10636;0.00246471802428991;0.00150062056266311;0.500282060925164;0.477789247950853;0.119591296493456;0.00580069212155454;0.000292272272394964;0.000379156349647827;10636;0.00251868399255058;0.0028001761452113;200;200;1;0.5;1.75;3;0.5;0.01
0;0.199415825809879;0.56156259840792;0.0215786952838995;0.00554443477031002;0.000893500884437133;0.000760878037284075;35777;0.00407077711771125;0.00207295926504807;0.500282060925164;0.477789247950853;0.119591296493456;0.00580069212155454;0.000292272272394964;0.000379156349647827;10636;0.00251868399255058;0.0028001761452113;400;200;0.2;0.5;1.75;3;0.5;0.01
0;0.598089088893246;0.471166931925076;0.168863018305509;0.00258209141162757;4.82556715132773e-05;6.74238329401e-05;35777;0.00273396911606982;0.00162002422865805;0.500282060925164;0.477789247950853;0.119591296493456;0.00580069212155454;0.000292272272394964;0.000379156349647827;10636;0.00251868399255058;0.0028001761452113;400;200;0.6;0.5;1.75;3;0.5;0.01
0;1.00000000000008;0.449380327021572;0.450280901115245;0.00250364895315104;1.06390017559324e-05;2.55433020559688e-05;35777;0.00243522085580292;0.00153963574173316;0.500282060925164;0.477789247950853;0.119591296493456;0.00580069212155454;0.000292272272394964;0.000379156349647827;10636;0.00251868399255058;0.0028001761452113;400;200;1;0.5;1.75;3;0.5;0.01
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
