deg_status;hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;jn;var_source_Gamma1_2;var_source_Gamma1_full;hatrho_J2;hateta3_J2;hateta3_full2;var2_source_Gamma1;var2_source_Gamma2;var2_source_Gamma3;jn2;var2_source_Gamma1_2;var2_source_Gamma1_full;n1;n2;rho1;rho2;alpha;r;mean;sigma
0;0.200529647737244;0.6057241173658;0.0234573278178938;0.0276796383275758;0.00409949326391738;0.00264959910923362;10636;0.0169519200530141;0.0116825327413953;0.496740629309268;0.478892161959345;0.118998433002022;0.00668161034617173;0.000287857524133099;0.000375016505736123;10636;0.00543822108245259;0.00342271148870935;200;200;0.2;0.5;1.75;3;0.5;0.01
0;0.601808323931304;0.631388245276562;0.225294677308255;0.0130558201803068;0.000349437176826137;0.000319246021012291;10636;0.0114670707433202;0.00758390772920154;0.496740629309268;0.478892161959345;0.118998433002022;0.00668161034617173;0.000287857524133099;0.000375016505736123;10636;0.00543822108245259;0.00342271148870935;200;200;0.6;0.5;1.75;3;0.5;0.01
0;1.00000000000003;0.470044674268255;0.472287769856357;0.00374245065642788;2.64485425308089e-05;9.10744983278189e-05;10636;0.00375140035763505;0.00207992911988042;0.496740629309268;0.478892161959345;0.118998433002022;0.00668161034617173;0.000287857524133099;0.000375016505736123;10636;0.00543822108245259;0.00342271148870935;200;200;1;0.5;1.75;3;0.5;0.01
0;0.200128574223664;0.596794983530763;0.0244055352766805;0.00788003944823482;0.00106577963997694;0.000827912263152953;35777;0.00807039273786062;0.00300120904357366;0.496740629309268;0.478892161959345;0.118998433002022;0.00668161034617173;0.000287857524133099;0.000375016505736123;10636;0.00543822108245259;0.00342271148870935;400;200;0.2;0.5;1.75;3;0.5;0.01
0;0.601573636693975;0.49292895750037;0.176786010353738;0.00323357102245092;6.05690962967931e-05;7.63536603155333e-05;35777;0.00315723149425162;0.00186252578630085;0.496740629309268;0.478892161959345;0.118998433002022;0.00668161034617173;0.000287857524133099;0.000375016505736123;10636;0.00543822108245259;0.00342271148870935;400;200;0.6;0.5;1.75;3;0.5;0.01
0;1.00000000000008;0.490366871327069;0.490183889335032;0.00330739828016507;1.61681521402447e-05;2.69192981175535e-05;35777;0.00324833120975684;0.00208234581410999;0.496740629309268;0.478892161959345;0.118998433002022;0.00668161034617173;0.000287857524133099;0.000375016505736123;10636;0.00543822108245259;0.00342271148870935;400;200;1;0.5;1.75;3;0.5;0.01
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
