deg_status;hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;jn;var_source_Gamma1_2;var_source_Gamma1_full;hatrho_J2;hateta3_J2;hateta3_full2;var2_source_Gamma1;var2_source_Gamma2;var2_source_Gamma3;jn2;var2_source_Gamma1_2;var2_source_Gamma1_full;n1;n2;rho1;rho2;alpha;r;mean;sigma
1;0.201642221386485;-0.000120064915858779;-7.75003386048557e-07;9.80239024705634e-10;1.09207344841124e-09;0;10636;1.04060053559096e-11;1.56364542910847e-09;0.49960824871506;-7.22470674324479e-05;-1.57724820233344e-06;2.06227874846865e-10;2.20781073155948e-10;0;10636;1.22578996864764e-10;1.69978474555584e-10;200;200;0.2;0.5;1.75;3;0;0.01
1;0.603532029585059;-9.73435967235447e-05;5.90524956134411e-06;2.7322917758174e-10;3.10726896395843e-10;0;10636;2.806846379868e-10;4.2827419968773e-10;0.49960824871506;-7.22470674324479e-05;-1.57724820233344e-06;2.06227874846865e-10;2.20781073155948e-10;0;10636;1.22578996864764e-10;1.69978474555584e-10;200;200;0.6;0.5;1.75;3;0;0.01
1;1.00000000000003;2.63483064613051e-05;-5.37591643308669e-06;1.55296273904728e-08;6.01797582200179e-09;1.17864245188164e-08;10636;3.02309570470513e-09;5.44648576267452e-11;0.49960824871506;-7.22470674324479e-05;-1.57724820233344e-06;2.06227874846865e-10;2.20781073155948e-10;0;10636;1.22578996864764e-10;1.69978474555584e-10;200;200;1;0.5;1.75;3;0;0.01
1;0.202150357305905;-0.000103749298615251;6.63994213061281e-08;2.76396058394261e-10;3.37650723815548e-10;0;35777;3.1577173146283e-10;2.4292231692937e-10;0.49960824871506;-7.22470674324479e-05;-1.57724820233344e-06;2.06227874846865e-10;2.20781073155948e-10;0;10636;1.22578996864764e-10;1.69978474555584e-10;400;200;0.2;0.5;1.75;3;0;0.01
1;0.597972626734131;1.58702510008587e-05;6.39938982037779e-07;1.28059743937574e-08;3.38428971182237e-09;1.01839367259379e-08;35777;2.14859878645652e-09;3.6344035925296e-11;0.49960824871506;-7.22470674324479e-05;-1.57724820233344e-06;2.06227874846865e-10;2.20781073155948e-10;0;10636;1.22578996864764e-10;1.69978474555584e-10;400;200;0.6;0.5;1.75;3;0;0.01
1;1.00000000000008;-3.66382220333811e-05;-1.28341912450425e-06;1.57673710781922e-09;5.57385414617019e-10;1.5625076550663e-09;35777;4.61634252739577e-10;7.53650013624662e-12;0.49960824871506;-7.22470674324479e-05;-1.57724820233344e-06;2.06227874846865e-10;2.20781073155948e-10;0;10636;1.22578996864764e-10;1.69978474555584e-10;400;200;1;0.5;1.75;3;0;0.01
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
