deg_status;hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;jn;var_source_Gamma1_2;var_source_Gamma1_full;hatrho_J2;hateta3_J2;hateta3_full2;var2_source_Gamma1;var2_source_Gamma2;var2_source_Gamma3;jn2;var2_source_Gamma1_2;var2_source_Gamma1_full;n1;n2;rho1;rho2;alpha;r;mean;sigma
0;0.20062366804563;0.469114547541928;0.0180848192103802;0.0171855995719267;0.00235635924418145;0.00209198397666355;10636;0.00391185780129009;0.00551258258765033;0.499357527892696;0.485684720014031;0.113936549117815;0.00524966332097391;0.000254338598457072;0.000334373018821766;10636;0.0046911619831664;0.00230572957579259;200;200;0.2;0.5;1.75;3;0.5;0.01
0;0.601134511721201;0.548917350625144;0.192505437331317;0.00690515282857984;0.00023227837755339;0.000298019199096765;10636;0.0046099517679291;0.00315886849683572;0.499357527892696;0.485684720014031;0.113936549117815;0.00524966332097391;0.000254338598457072;0.000334373018821766;10636;0.0046911619831664;0.00230572957579259;200;200;0.6;0.5;1.75;3;0.5;0.01
0;1.00000000000003;0.501417064458649;0.503809353463074;0.0054893500021033;4.07037802156409e-05;9.81655958011482e-05;10636;0.00520807982979524;0.00310079537732426;0.499357527892696;0.485684720014031;0.113936549117815;0.00524966332097391;0.000254338598457072;0.000334373018821766;10636;0.0046911619831664;0.00230572957579259;200;200;1;0.5;1.75;3;0.5;0.01
0;0.19922482786893;0.548014434225008;0.0223790174432951;0.00691029010353065;0.000974329262445713;0.000766492425404233;35777;0.00185780717449997;0.00254363270405229;0.499357527892696;0.485684720014031;0.113936549117815;0.00524966332097391;0.000254338598457072;0.000334373018821766;10636;0.0046911619831664;0.00230572957579259;400;200;0.2;0.5;1.75;3;0.5;0.01
0;0.598722643038832;0.497613672303576;0.178505850594505;0.00273413259166746;6.18381333870559e-05;7.79799021115339e-05;35777;0.00217796398601453;0.00163217036086846;0.499357527892696;0.485684720014031;0.113936549117815;0.00524966332097391;0.000254338598457072;0.000334373018821766;10636;0.0046911619831664;0.00230572957579259;400;200;0.6;0.5;1.75;3;0.5;0.01
0;1.00000000000008;0.522990136255926;0.523411667660696;0.00423288464041428;1.7965107992569e-05;2.89145265411309e-05;35777;0.00414423534566387;0.00280354651571183;0.499357527892696;0.485684720014031;0.113936549117815;0.00524966332097391;0.000254338598457072;0.000334373018821766;10636;0.0046911619831664;0.00230572957579259;400;200;1;0.5;1.75;3;0.5;0.01
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
