deg_status;hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;jn;var_source_Gamma1_2;var_source_Gamma1_full;hatrho_J2;hateta3_J2;hateta3_full2;var2_source_Gamma1;var2_source_Gamma2;var2_source_Gamma3;jn2;var2_source_Gamma1_2;var2_source_Gamma1_full;n1;n2;rho1;rho2;alpha;r;mean;sigma
1;0.20062366804563;-9.99531414743449e-05;3.7457604248847e-07;7.75035396665158e-10;8.09467292270792e-10;0;10636;1.03418635937752e-09;1.44854587855626e-09;0.499357527892696;1.64873522436758e-05;-2.41226308181687e-06;4.41251881521808e-08;1.56884446279475e-08;4.73887968621212e-08;10636;5.43710233067476e-10;1.88885477383209e-10;200;200;0.2;0.5;1.75;3;0;0.01
1;0.601134511721201;0.000165135153521643;1.04096442825261e-06;6.69811290114424e-08;2.23121381013959e-08;6.76950159429075e-08;10636;5.75495798191426e-11;3.42302144013051e-10;0.499357527892696;1.64873522436758e-05;-2.41226308181687e-06;4.41251881521808e-08;1.56884446279475e-08;4.73887968621212e-08;10636;5.43710233067476e-10;1.88885477383209e-10;200;200;0.6;0.5;1.75;3;0;0.01
1;1.00000000000003;-4.98627144773671e-05;6.60151934741044e-07;5.21141491108732e-09;2.13297385143075e-09;5.8932122594082e-09;10636;1.55840017225602e-10;8.80382515387996e-11;0.499357527892696;1.64873522436758e-05;-2.41226308181687e-06;4.41251881521808e-08;1.56884446279475e-08;4.73887968621212e-08;10636;5.43710233067476e-10;1.88885477383209e-10;200;200;1;0.5;1.75;3;0;0.01
1;0.19922482786893;-8.02047860580669e-05;-4.95952637099605e-07;1.60954354581936e-10;1.98218475261246e-10;0;35777;1.88268454983175e-10;1.50778654119289e-10;0.499357527892696;1.64873522436758e-05;-2.41226308181687e-06;4.41251881521808e-08;1.56884446279475e-08;4.73887968621212e-08;10636;5.43710233067476e-10;1.88885477383209e-10;400;200;0.2;0.5;1.75;3;0;0.01
1;0.598722643038832;9.34708743033721e-05;-3.61208424961608e-07;1.45974007199289e-08;5.39267765562917e-09;1.62128049658927e-08;35777;1.21126868707371e-11;2.56652027089018e-11;0.499357527892696;1.64873522436758e-05;-2.41226308181687e-06;4.41251881521808e-08;1.56884446279475e-08;4.73887968621212e-08;10636;5.43710233067476e-10;1.88885477383209e-10;400;200;0.6;0.5;1.75;3;0;0.01
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
