deg_status;hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;jn;var_source_Gamma1_2;var_source_Gamma1_full;hatrho_J2;hateta3_J2;hateta3_full2;var2_source_Gamma1;var2_source_Gamma2;var2_source_Gamma3;jn2;var2_source_Gamma1_2;var2_source_Gamma1_full;n1;n2;rho1;rho2;alpha;r;mean;sigma
1;0.20280180518992;-5.38820883424577e-05;-1.74423587405583e-06;3.44911873107064e-10;4.38547425579241e-10;0;10636;0;4.94484615158757e-10;0.498950106556354;1.585048221778e-06;-1.83060880770534e-06;4.95148425362461e-08;1.5851584881403e-08;4.75437692148872e-08;10636;6.26280084643011e-10;2.41833090378436e-10;200;200;0.2;0.5;1.75;3;0;0.01
1;0.601761313777111;-9.0835264309394e-05;-2.29641685918041e-06;2.10872721180665e-10;2.69589567182989e-10;0;10636;2.82869944129882e-12;1.18840489452735e-10;0.498950106556354;1.585048221778e-06;-1.83060880770534e-06;4.95148425362461e-08;1.5851584881403e-08;4.75437692148872e-08;10636;6.26280084643011e-10;2.41833090378436e-10;200;200;0.6;0.5;1.75;3;0;0.01
1;1.00000000000003;8.14026953887003e-05;-7.11676625858088e-06;1.61005162588713e-08;5.85996050316295e-09;1.76796367782246e-08;10636;3.30000214152352e-09;5.37785675664455e-11;0.498950106556354;1.585048221778e-06;-1.83060880770534e-06;4.95148425362461e-08;1.5851584881403e-08;4.75437692148872e-08;10636;6.26280084643011e-10;2.41833090378436e-10;200;200;1;0.5;1.75;3;0;0.01
1;0.197179752354866;-0.00011810837301575;4.47606623768401e-07;3.72517252991124e-10;3.2391143572358e-10;0;35777;1.85894745315498e-10;2.80367118636403e-10;0.498950106556354;1.585048221778e-06;-1.83060880770534e-06;4.95148425362461e-08;1.5851584881403e-08;4.75437692148872e-08;10636;6.26280084643011e-10;2.41833090378436e-10;400;200;0.2;0.5;1.75;3;0;0.01
1;0.597814238197733;-5.03248236730934e-05;-5.61517764954321e-07;3.7338151647853e-09;1.39707513076904e-09;4.07789351689331e-09;35777;5.52651213183246e-11;2.9622339579028e-11;0.498950106556354;1.585048221778e-06;-1.83060880770534e-06;4.95148425362461e-08;1.5851584881403e-08;4.75437692148872e-08;10636;6.26280084643011e-10;2.41833090378436e-10;400;200;0.6;0.5;1.75;3;0;0.01
1;1.00000000000008;6.12207860451238e-05;5.56960419713999e-08;5.43817007458428e-09;1.55201453358673e-09;4.1666870801768e-09;35777;8.26935746733323e-10;9.31051686799084e-12;0.498950106556354;1.585048221778e-06;-1.83060880770534e-06;4.95148425362461e-08;1.5851584881403e-08;4.75437692148872e-08;10636;6.26280084643011e-10;2.41833090378436e-10;400;200;1;0.5;1.75;3;0;0.01
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
