deg_status;hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;jn;var_source_Gamma1_2;var_source_Gamma1_full;hatrho_J2;hateta3_J2;hateta3_full2;var2_source_Gamma1;var2_source_Gamma2;var2_source_Gamma3;jn2;var2_source_Gamma1_2;var2_source_Gamma1_full;n1;n2;rho1;rho2;alpha;r;mean;sigma
0;0.203068196063682;0.490268176232953;0.0180367085703249;0.0109074836922918;0.00222424863107058;0.00236830945621687;10636;9.10489849259043e-07;0.00290906344101568;0.497931553215499;0.571513974006716;0.14724238305193;0.00948958472468682;0.000454993781632275;0.000447857572757537;10636;0.00537364491841023;0.00609595094937397;200;200;0.2;0.5;1.75;3;0.5;0.01
0;0.600445029459699;0.418681674279736;0.151511916925223;0.0044368554582455;0.000147967121014346;0.000229439761261779;10636;0.00324536211456793;0.00237050465131753;0.497931553215499;0.571513974006716;0.14724238305193;0.00948958472468682;0.000454993781632275;0.000447857572757537;10636;0.00537364491841023;0.00609595094937397;200;200;0.6;0.5;1.75;3;0.5;0.01
0;1.00000000000003;0.491998855429474;0.482883168204371;0.00662643886971022;3.43710637602232e-05;8.72502372713919e-05;10636;0.00619384883104046;0.004176417253263;0.497931553215499;0.571513974006716;0.14724238305193;0.00948958472468682;0.000454993781632275;0.000447857572757537;10636;0.00537364491841023;0.00609595094937397;200;200;1;0.5;1.75;3;0.5;0.01
0;0.198703077396094;0.443740989921999;0.0180368507124451;0.00329322279579316;0.000612185622043333;0.000635294661138359;35777;0.00610254379516552;0.00149277121383138;0.497931553215499;0.571513974006716;0.14724238305193;0.00948958472468682;0.000454993781632275;0.000447857572757537;10636;0.00537364491841023;0.00609595094937397;400;200;0.2;0.5;1.75;3;0.5;0.01
0;0.599300295348044;0.432078134056403;0.15861248615561;0.00273795552948304;5.23329495650542e-05;6.89963180354795e-05;35777;0.00247150227742472;0.00167445599237965;0.497931553215499;0.571513974006716;0.14724238305193;0.00948958472468682;0.000454993781632275;0.000447857572757537;10636;0.00537364491841023;0.00609595094937397;400;200;0.6;0.5;1.75;3;0.5;0.01
0;1.00000000000008;0.59953381606814;0.597642752639223;0.00514511895176646;2.03620017814751e-05;3.20241512917362e-05;35777;0.00510151915498629;0.00340759494068148;0.497931553215499;0.571513974006716;0.14724238305193;0.00948958472468682;0.000454993781632275;0.000447857572757537;10636;0.00537364491841023;0.00609595094937397;400;200;1;0.5;1.75;3;0.5;0.01
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
