hatrho_wq_J;var_wq_J;hatrho_J;hateta3_J;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;n;rho;alpha;jn;var_source_Gamma1_2;var_source_Gamma1_3
-0.0145651186350438;0.000453355863751378;1;-0.00718350899928983;0.000815312352152798;0;-2.85322325141427e-05;100;1;1.2;251;5.40629357321315e-06;5.24778049525204e-06
-0.0467718776464143;0.000420727850272117;1;-0.0179109822464245;0.00080971195988875;0;-7.12402240313175e-05;100;1;1.2;251;6.31146207693073e-06;6.17917790575208e-06
-0.00251442395875289;0.000401858234004089;1;0.00103785589103832;0.000797080540515215;0;4.13693341793928e-06;100;1;1.2;251;8.64504645381559e-06;8.75442855633644e-06
0.00593662678220304;0.000373889726493486;1;0.00809011579982019;0.0010712497648494;0;3.33103838069528e-05;100;1;1.2;251;8.20435333250611e-06;8.24697157813541e-06
0.0028688634477151;0.000418003414188715;1;0.0178847428357791;0.00079173681454486;0;7.12603657467993e-05;100;1;1.2;251;3.63811474819323e-06;3.63645597027076e-06
0.0156722743426968;0.000313751853632014;1;0.00733006802300753;0.000591265644690758;0;3.14367550627304e-05;100;1;1.2;251;7.12972294515136e-06;7.05425651654316e-06
0.0346276228217081;0.000385838150492328;1;0.0292853329806287;0.000912886024327594;0;0.00011797965650231;100;1;1.2;251;5.9231689607016e-06;5.80754597765148e-06
-0.0208040476670315;0.000396487914946595;1;0.00299023190216366;0.00106649830168016;0;1.2531032364452e-05;100;1;1.2;251;6.32485704820636e-06;6.31387441637517e-06
-0.0383215121225865;0.000479185343959559;1;-0.0158059151233947;0.000882708238913454;0;-6.08444629609893e-05;100;1;1.2;251;7.87911936866767e-06;7.82669783355269e-06
-0.0438114652209931;0.000493871894794287;1;-0.00467962692433648;0.000941199100121141;0;-1.75255275897836e-05;100;1;1.2;251;6.35322352862491e-06;6.18932194964201e-06
-0.000161552573938347;0.000345700134134227;1;0.0335864009087075;0.00097191086889376;0;0.000136760583699601;100;1;1.2;251;8.07999160368231e-06;7.21890482061691e-06
-0.0335547825992425;0.000485021361974609;1;-0.0206516474195119;0.000976143781148622;0;-8.15747537203866e-05;100;1;1.2;251;3.68748280819928e-06;3.72237705587445e-06
0.012024893066409;0.000401433193315272;1;-0.0382868369610674;0.000915898825822444;0;-0.000152031974427175;100;1;1.2;251;4.34242405899387e-06;4.27205760083729e-06
-0.0313950397047599;0.00026682086972001;1;-0.00338119602046315;0.000795085746259453;0;-1.17130558843446e-05;100;1;1.2;251;6.49490624689776e-06;6.4094457555389e-06
0.020832333077159;0.000332797551554025;1;-0.0100955721488167;0.000876314745532628;0;-3.93642136438119e-05;100;1;1.2;251;5.27933324150226e-06;5.40507553968603e-06
0.0314707856334826;0.000380021582697538;1;0.030834282168396;0.000573745878987893;0;0.000124209521744792;100;1;1.2;251;4.09478493216918e-06;4.07459312114775e-06
-0.0146287143829502;0.00043432911620736;1;0.0185629573665722;0.000773463860624349;0;7.44131393407068e-05;100;1;1.2;251;5.61904125943351e-06;5.4139246354752e-06
0.0283799959486823;0.000425579382504239;1;0.0111911329804576;0.000652846529131083;0;4.46280394006332e-05;100;1;1.2;251;6.27842763591401e-06;6.22374221921746e-06
-0.0135738061402515;0.000333420244085761;1;0.0137260466228379;0.00062429194615384;0;5.53153150580977e-05;100;1;1.2;251;5.85197300012749e-06;5.90681016496386e-06
0.0243509112393338;0.000420891870583715;1;-0.0117070766198119;0.000668206928854065;0;-4.57959691548458e-05;100;1;1.2;251;7.77071116873445e-06;7.50901522329268e-06
0.00774251079400244;0.000309956878811204;1;-0.0111197030357442;0.000671654340165144;0;-4.28950052652946e-05;100;1;1.2;251;8.10976105154594e-06;8.02178028898162e-06
0.013550393352604;0.000433275672796379;1;0.00275806548862424;0.000899685598270166;0;1.84695354630491e-05;100;1;1.2;251;4.15462559547665e-06;3.40152926437512e-06
-0.000926939713151263;0.000316733785043673;1;0.00337879082196801;0.000692146584186146;0;1.52973957280556e-05;100;1;1.2;251;7.25939263004997e-06;6.29405686158773e-06
0.0396693746298585;0.000462684919171759;1;-0.00764152991842369;0.000725480611608356;0;-2.98269840756296e-05;100;1;1.2;251;4.82754517508469e-06;4.89696328856777e-06
-0.00455645148799924;0.00041555839986099;1;0.0257407335909387;0.00095938097023755;0;0.000102797283476632;100;1;1.2;251;5.66814538180344e-06;5.70238172501554e-06
0.0187369056669743;0.000435812129058361;1;-0.0292889261697273;0.000749891364218516;0;-0.000116451155537989;100;1;1.2;251;4.66733726273395e-06;4.78902572155849e-06
-0.0527387411871826;0.000460423376051572;1;0.00320232433591458;0.000998422150856949;0;1.28188530212539e-05;100;1;1.2;251;7.61076360310265e-06;7.67500695650777e-06
-0.025783770099985;0.000359849174771373;1;0.011379861301002;0.000878357696097441;0;4.79833261953294e-05;100;1;1.2;251;6.46896111518881e-06;6.23616981537201e-06
0.00360954728475367;0.00044846231556416;1;-0.00663707798760576;0.000743519479025967;0;-2.61467356534528e-05;100;1;1.2;251;9.17599636251896e-06;9.14289196432174e-06
-0.00971239560237075;0.000432526270168293;1;-0.00335921689782543;0.00101478303354483;0;-1.3382441272625e-05;100;1;1.2;251;4.63920354304225e-06;4.63913981287323e-06
0.00404687336870415;0.000273772092223785;1;-0.0028923313885124;0.000931840993634391;0;-9.16333415277602e-06;100;1;1.2;251;6.68072503507809e-06;6.15779649631083e-06
-0.0197570703932927;0.000434101419309365;1;-0.0307707588504223;0.000651991069022816;0;-0.000120180462607348;100;1;1.2;251;7.08213925590568e-06;6.18780441614119e-06
-0.0317794305386815;0.00037328253316078;1;-0.0261461326331608;0.000804124013722659;0;-0.000101767683860563;100;1;1.2;251;5.51954639780587e-06;4.233462559625e-06
-0.0142304812005074;0.000413270721078138;1;0.00190267355131539;0.00091957520919753;0;8.62792842769094e-06;100;1;1.2;251;6.32807157191548e-06;5.52307196508913e-06
0.015072313122332;0.000425010242713713;1;-0.0223357884924968;0.000815273005457814;0;-8.65814830574166e-05;100;1;1.2;251;7.50619487363279e-06;6.82133542746869e-06
-0.000671209925250246;0.000393226417061728;1;-0.00430658258274306;0.000941700575470398;0;-1.52951696952219e-05;100;1;1.2;251;5.34271709478413e-06;5.47561692281527e-06
