hateta3_wq_J;var_wq_J;hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;n;rho;alpha;jn;var_source_Gamma1_2;var_source_Gamma1_full
0.00309621734593175;2.49454891531907e-07;0.999999999999996;0.0107981125226673;0.0115522774232006;1.09125076416572e-05;NaN;4.24219719190373e-08;100;1;2.8;398107;1.78152966196475e-05;1.78182933740342e-05
0.00272004908464523;2.53524245154748e-07;0.999999999999996;0.0076945394704674;0.00724686345702272;7.20378209816718e-06;NaN;5.21446290574724e-08;100;1;2.8;398107;1.05981287667425e-05;1.06004652360351e-05
0.00196826358608746;2.57560277700566e-07;0.999999999999996;0.011188997955321;0.0110920977565284;9.07359091508098e-06;NaN;5.17081190101965e-08;100;1;2.8;398107;1.45709152328657e-05;1.45769614575083e-05
0.00410226749131708;2.5810888225026e-07;0.999999999999996;0.0186678326101549;0.0190423488456998;1.56070246511709e-05;NaN;7.00708653864411e-08;100;1;2.8;398107;2.8665673461838e-05;2.86642160881916e-05
0.00211175255018608;2.64882918040865e-07;0.999999999999996;0.00556059269753307;0.00582134190508629;6.1219749258329e-06;NaN;2.99038915044347e-08;100;1;2.8;398107;1.05193505536193e-05;1.05024439513784e-05
0.00238652874750099;2.50967448856578e-07;0.999999999999996;0.00949761616594033;0.0104605233238991;8.08496623857636e-06;NaN;5.25293302700856e-08;100;1;2.8;398107;1.26240187927971e-05;1.26220720259759e-05
2.21166742376421e-05;2.56176446571265e-07;0.999999999999996;0.0118944721243032;0.0114262348756179;9.38205059977717e-06;NaN;4.62525993913444e-08;100;1;2.8;398107;1.63627754106245e-05;1.63619529876501e-05
0.000779984288249032;2.64102952328575e-07;0.999999999999996;0.00685751950485716;0.00700376166916648;8.02022445725718e-06;NaN;5.24291992199114e-08;100;1;2.8;398107;1.26541729322129e-05;1.26492804464301e-05
0.00286923439832812;2.56166841852096e-07;0.999999999999996;0.00986775812499101;0.00886780550652131;1.070455934906e-05;NaN;4.44141221881942e-08;100;1;2.8;398107;1.57491495735011e-05;1.57224127539771e-05
0.00176324200438934;2.73883131594702e-07;0.999999999999996;0.00660456401070444;0.00605864927533113;7.60703666916002e-06;NaN;3.6786353176e-08;100;1;2.8;398107;1.1259348658144e-05;1.12598383552374e-05
-0.000554791764731522;2.53542153149155e-07;0.999999999999996;0.00401413815667525;0.0038986870871969;6.19672326148498e-06;NaN;3.12994899482202e-08;100;1;2.8;398107;9.10921368504962e-06;9.11459552521737e-06
0.00199654536677219;2.60744606657228e-07;0.999999999999996;0.00656914780913041;0.00650870468069662;8.51795482635783e-06;NaN;3.84680799914625e-08;100;1;2.8;398107;1.21230734094833e-05;1.21095585225338e-05
0.00192647736404478;2.48438502012778e-07;0.999999999999996;0.00735612901033934;0.00742205680515331;8.09844924551118e-06;NaN;5.07592754654282e-08;100;1;2.8;398107;1.18517820244156e-05;1.18541038571551e-05
0.000613563807806288;2.72052173468596e-07;0.999999999999996;0.00629753997360331;0.006051036026241;7.12001600167018e-06;NaN;3.5340945166417e-08;100;1;2.8;398107;1.23072789457519e-05;1.23074234270069e-05
0.00315637495237168;2.54142125321081e-07;0.999999999999996;0.0124893100368595;0.0123047753832525;1.03037425785869e-05;NaN;5.1979083939189e-08;100;1;2.8;398107;1.79665175571161e-05;1.79852691546414e-05
8.5787314429719e-05;2.63144597207464e-07;0.999999999999996;0.00739192598869946;0.00738962990391418;7.62564055530265e-06;NaN;5.32512619918185e-08;100;1;2.8;398107;1.27162716736045e-05;1.26893833310461e-05
0.00229538312790289;2.69842001135491e-07;0.999999999999996;0.00654718813025648;0.006400235092129;1.11297000496829e-05;NaN;4.5964268438332e-08;100;1;2.8;398107;1.52395823459036e-05;1.52548859439304e-05
0.00184138995304862;2.54780775334188e-07;0.999999999999996;0.00912535234983134;0.00970794917107559;8.95652048433623e-06;NaN;5.44273073576942e-08;100;1;2.8;398107;1.48610006950697e-05;1.48421517325328e-05
0.00158645679258015;2.73793956704758e-07;0.999999999999996;0.0115519078056704;0.0113518408410855;1.32031333781877e-05;NaN;5.25277848690525e-08;100;1;2.8;398107;2.00834072538259e-05;2.00567439088476e-05
0.00163053322703684;2.56940577420955e-07;0.999999999999996;0.0122425590953766;0.0123719771928324;1.13859231642654e-05;NaN;6.4820628850587e-08;100;1;2.8;398107;1.96589335712823e-05;1.9633394425355e-05
0.00173598997121284;2.61500205379476e-07;0.999999999999996;0.00932052272156002;0.00837098777504296;1.01448686348904e-05;NaN;5.93218831215274e-08;100;1;2.8;398107;1.50222356423351e-05;1.50194751216932e-05
0.0065649155851926;2.71612546818707e-07;0.999999999999996;0.0166692080944121;0.0157192148794936;1.37772161108001e-05;NaN;7.61330237775726e-08;100;1;2.8;398107;2.85996944692376e-05;2.86564019735837e-05
0.000449687390152351;2.54834973646101e-07;0.999999999999996;0.00453817983742583;0.00468306580063623;8.34591530461122e-06;NaN;3.18076059780789e-08;100;1;2.8;398107;1.26466488851564e-05;1.26446370591203e-05
0.00280694065794349;2.62968921237606e-07;0.999999999999996;0.0086905619343474;0.0085452958915151;8.82664415823351e-06;NaN;4.25450607303851e-08;100;1;2.8;398107;1.2839172794841e-05;1.28361239851181e-05
0.00312655282231872;2.5588407191352e-07;0.999999999999996;0.0132002073807519;0.0120766600885521;1.19338597561963e-05;NaN;5.32404277547643e-08;100;1;2.8;398107;1.76842466156809e-05;1.76824916937862e-05
0.00156537385223961;2.68411801159748e-07;0.999999999999996;0.0126864794529428;0.0126869703855291;8.89438621310916e-06;NaN;5.47748211884585e-08;100;1;2.8;398107;1.61778786968497e-05;1.61890518494812e-05
0.00114400353480552;2.56171277562305e-07;0.999999999999996;0.00802942116835927;0.00854401446063117;8.86029376291641e-06;NaN;4.99350892741071e-08;100;1;2.8;398107;1.34680084902908e-05;1.34710655313431e-05
0.00171316231683953;2.53137767490162e-07;0.999999999999996;0.0102488061828503;0.0110964603192956;1.04673135619924e-05;NaN;4.24108644169148e-08;100;1;2.8;398107;1.75250162207749e-05;1.75124147779017e-05
0.00128836188725195;2.53879026364658e-07;0.999999999999996;0.00830848586309452;0.00866669318304142;9.70947374650393e-06;NaN;5.33063435038439e-08;100;1;2.8;398107;1.31789848010121e-05;1.31979197008765e-05
