hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;n;rho;alpha;jn;var_source_Gamma1_2;var_source_Gamma1_full
1;0.31553023227724;0.396582264935286;0.0279466462347476;0.0121138580832076;0.000917171372391775;200;1;1.2;577;0.00670799387492176;0.0062958012396282
1;0.786851272368423;0.598771116479429;0.0939130105482556;0.00253166091261833;0.00201346089829809;200;1;1.2;577;0.0243096076216594;0.0160173551529554
1;0.629019505551998;0.506116623151503;0.0564908677681133;0.0118320454718553;0.00185606516415806;200;1;1.2;577;0.0122654007766431;0.0109018355157553
1;0.491327964605737;0.599953141969922;0.0490037310508508;0.00821970505237552;0.0015694765581442;200;1;1.2;577;0.0156274757495058;0.012757573449983
1;0.410310038753892;0.562835361381242;0.0543257136554685;0.00403779854151315;0.00137814035014866;200;1;1.2;577;0.0138460903763567;0.0127501635859136
1;0.571520078296153;0.514079767191843;0.0695704766116403;0.012892274922621;0.00146190702202984;200;1;1.2;577;0.0238818046042646;0.0164034660391095
1;0.450650551462558;0.388814982928905;0.0618084538351132;0.00207832901825552;0.00117681572034024;200;1;1.2;577;0.0178221626704513;0.00908192756020374
1;0.680247815890247;0.503415911004527;0.0794759011661105;0.00157823556723;0.00179566098524583;200;1;1.2;577;0.0193303939470909;0.0140168678529099
1;0.580620130338045;0.538245811736521;0.0697402593878516;0.00502303892313151;0.00153542012221444;200;1;1.2;577;0.0179948661609351;0.0126331191927021
1;0.319910321416197;0.428633316081693;0.0351100661572096;0.00426353906066056;0.000862891277132048;200;1;1.2;577;0.0091628696791047;0.0115798684932528
1;0.47026110173683;0.711850953150405;0.0919848192120462;0.00224635573164979;0.00142863224317225;200;1;1.2;577;0.0259313275050585;0.0234693360841756
1;0.226639971035754;0.552409824732566;0.051375977889958;0.0102075008725925;0.00100156330022935;200;1;1.2;577;0.0199052073637635;0.0144133196511802
1;0.715377003109761;0.638866721334253;0.164279739024235;0.00638858716813509;0.0017638103404231;200;1;1.2;577;0.0374560939972369;0.0223742047192638
1;0.528020705544592;0.613861045644048;0.0578226698686396;0.00423668785398783;0.00131151444400944;200;1;1.2;577;0.0150241372632333;0.017815885577454
1;0.793405117465977;0.704261414136215;0.118274130899592;0.00410809920604335;0.0020227881679663;200;1;1.2;577;0.0259571551779039;0.0239237914744311
1;0.3769599788362;0.383721731674246;0.0379314163712388;0.00353525483568295;0.000949086134095598;200;1;1.2;577;0.011804566919561;0.0100623608277243
1;0.279687706046735;0.354507722318481;0.0316654646627032;0.00654247559104273;0.000796421367437542;200;1;1.2;577;0.00853986567485677;0.00851436914735526
1;0.273513681404203;0.490102077039937;0.0517107898802332;0.0151343128500199;0.000728466628459188;200;1;1.2;577;0.0149585304624621;0.0154530845396795
1;0.48656926780502;0.429257673486689;0.101456256895985;0.00406738942704506;0.00128554664807216;200;1;1.2;577;0.0169093109420235;0.00975578693613648
1;0.48663820274195;0.440391739335032;0.0840335021842503;0.00284910641344169;0.00122565487945648;200;1;1.2;577;0.0146529237233728;0.00995020503350236
1;0.353530108156463;0.471966265352273;0.0372555440935892;0.00623983105471869;0.00103000890178473;200;1;1.2;577;0.0107560571423532;0.0097758288131221
1;0.381908380782293;0.381685051842706;0.0476123221882752;0.00926562143587255;0.000911429406956808;200;1;1.2;577;0.0079794306832323;0.00746983033540909
1;0.576525834999791;0.398015022506543;0.0902183313647219;0.00531826973472675;0.00136530001958809;200;1;1.2;577;0.0241131269339771;0.00942213536542864
1;0.417732650594164;0.499222573689261;0.101197922514526;0.0114805350674706;0.000972318110316788;200;1;1.2;577;0.0154250359137321;0.0139680814605423
1;0.527672018548862;0.500991262567356;0.0885984785565075;0.0148640120291635;0.00133208837563683;200;1;1.2;577;0.015575620189071;0.0125427652334701
1;0.209921810792492;0.260594779443255;0.0289552907862274;0.00027474566696121;0.000532110602191955;200;1;1.2;577;0.0077177938064078;0.00501340799554792
1;0.384983698143376;0.581747156360082;0.0337085360812011;0.0131667746620666;0.00126413485939019;200;1;1.2;577;0.0114154205792893;0.0141432027312095
1;0.510829745383811;0.601137282438372;0.105285965702563;0.0172744835296191;0.00137184935807227;200;1;1.2;577;0.0255563098260068;0.0223840815990712
1;0.873409026459938;0.758830630360652;0.142748072161812;0.0113810911803163;0.00238443432004463;200;1;1.2;577;0.0361803910321364;0.0241687458530228
1;0.462875349972623;0.613598651036078;0.0934800333216297;0.00327102214397426;0.00136935913500181;200;1;1.2;577;0.0269908968934042;0.0198287270712035
1;0.399456000573363;0.565456788045216;0.0972854322835426;0.0488386441223806;0.00123099410584054;200;1;1.2;577;0.0212929491720374;0.0177452338116425
1;0.489633616262445;0.795614641107043;0.0892963855867237;0.0065133436079591;0.00148471595262502;200;1;1.2;577;0.0257221721079719;0.0295996007761987
1;0.435819674845539;0.478061035324799;0.043490150705435;0.00771043875760231;0.00128222342519122;200;1;1.2;577;0.0109042804393062;0.00962152663575146
1;0.515242266902288;0.485761511218151;0.0683967120450176;0.195362659196154;0.00144055823415961;200;1;1.2;577;0.0168668176619268;0.011650889535876
1;0.393530528105476;0.512210132846751;0.0407579908845534;0.0333479994588562;0.0009854187473708;200;1;1.2;577;0.0128348426522388;0.0173937062264957
1;0.435167705176533;0.492434431717213;0.0639971920664789;0.00766778062501585;0.0012988886636171;200;1;1.2;577;0.0127572764033819;0.0117470434557118
1;0.541522369147845;0.569147845143501;0.0437974684290041;0.00484166552653817;0.00179811299510034;200;1;1.2;577;0.0136938601013961;0.0126325973227894
1;0.456257881695968;0.507164318207922;0.0987044504319941;0.0203564308674555;0.00138985165207517;200;1;1.2;577;0.0183210633205807;0.0104683505255051
1;0.461963704958881;0.499336376260745;0.0408249132973112;0.0172587718794074;0.00144795076528296;200;1;1.2;577;0.0108181964374646;0.0077820027472493
1;0.458699325937169;0.599561044660612;0.0432239535058833;0.0437146497986391;0.00140376498658802;200;1;1.2;577;0.0111785760709886;0.0130244985749437
1;0.646715044320764;0.626961134324287;0.107495696233343;0.023963979786497;0.00174694226687168;200;1;1.2;577;0.0256461910186725;0.0180633210537554
1;0.685049653277398;0.648628511265254;0.122463110228194;0.00241903096757226;0.00200539543208739;200;1;1.2;577;0.024711805743164;0.0149407323993079
1;0.284139576287996;0.48188038494083;0.0715938629853376;0.0220520602465926;0.000704189562404744;200;1;1.2;577;0.0156354409440354;0.0199783490869763
1;0.143514167982515;0.279302431630374;0.018631043444661;0.014680157317475;0.000362419672287054;200;1;1.2;577;0.00608434474168434;0.0070800716445358
1;0.521746254623622;0.60379681632293;0.106464419984363;0.032654546300566;0.00140246772764531;200;1;1.2;577;0.0232369773018877;0.0171626603231328
1;0.657976435784367;0.481290750301504;0.164423773914216;0.00140725837439754;0.00161299232411723;200;1;1.2;577;0.0379974873109646;0.0130886348096375
1;0.536239430874219;0.382238270423266;0.0513023162490297;0.00184700003266765;0.00129415486420702;200;1;1.2;577;0.0152737503541338;0.00807709129219727
1;0.387284000551576;0.451874530273354;0.0889066274359875;0.0166015426478756;0.00106997847305907;200;1;1.2;577;0.0223526824880694;0.012665847624133
1;0.517165246566372;0.431636217608541;0.0401865739796762;0.00211948929592364;0.00142057328874859;200;1;1.2;577;0.0122405342159901;0.0109543620247987
1;0.415273853176109;0.51340682304458;0.0353201710751904;0.00569048242266168;0.00130075618329026;200;1;1.2;577;0.0100594790078209;0.0156806849731207
1;0.503614797259825;0.649356093384821;0.0805715371757043;0.00129430018183105;0.00134682178410334;200;1;1.2;577;0.0213590301342084;0.0228756130703748
1;0.248279042503697;0.397139643877516;0.015270009462915;0.0232594205147655;0.000787100740202293;200;1;1.2;577;0.00527145648942129;0.0062426278997084
1;0.577152700687888;0.679093088356863;0.0609577813237342;0.0172128666745904;0.00154141885146998;200;1;1.2;577;0.0198293404644794;0.0192497508621928
1;0.61491589491735;0.596898065438281;0.0966661451861999;0.0204819810220658;0.00166255894067315;200;1;1.2;577;0.0230768059365806;0.0170212076701772
1;0.561263490168662;0.581994394832481;0.0465896106967557;0.0214992338904081;0.00175461099504396;200;1;1.2;577;0.0166792608054987;0.0118998583311061
