hateta3_wq_J;var_wq_J;hateta3_wq;var_wq;hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;n;rho;alpha;jn;var_source_Gamma1_2;var_source_Gamma1_full
0.00785745393155602;0.0018796063915587;-0.00618365297205286;3.41660062817953e-05;1;-0.00551933436769857;-0.00618365297205287;0.00169129464109366;0;-1.0228392594776e-05;100;1;1.2;251;0.00220297326687032;3.41660062817953e-05
0.0393675000133733;0.00428411740369171;-3.88033835513898e-06;0.000497284334255344;1;-0.0310698923431053;-3.88033835513797e-06;0.00254625251255094;0;-0.000123523807174803;100;1;1.2;251;0.00334550944789733;0.000497284334255344
0.00351944728319792;0.00490066917843618;-0.00694217447971226;0.000172683071914943;1;-0.035917478588278;-0.00694217447971227;0.00313035395032685;0;-0.000142609475390471;100;1;1.2;251;0.00536704466981431;0.000172683071914943
-0.0137280130984753;0.0013394931894157;0.00298039843047196;0.000132152336220761;1;-0.00340099074314372;0.00298039843047196;0.003385721954869;0;-1.25855842951502e-05;100;1;1.2;251;0.00133583185193174;0.000132152336220761
0.0446461958239829;0.00467262453514545;-0.0133631756699369;4.494073349004e-05;1;0.0223428039226869;-0.0133631756699369;0.00457962448239614;0;9.28283905017801e-05;100;1;1.2;251;0.0180144295041481;4.49407334900401e-05
-0.0828780887852522;0.00518371967016074;-0.00460346516201288;0.000310136153546398;1;-0.0158969421934071;-0.00460346516201288;0.00791939281570958;0;-6.21310676905369e-05;100;1;1.2;251;0.00452588000538252;0.000310136153546398
-0.0218116605956222;0.00163272516988115;0.00594943938561297;0.000100466881711206;1;0.028607068359693;0.00594943938561297;0.00158659249088038;0;0.000114214611431395;100;1;1.2;251;0.00214641100750707;0.000100466881711206
-0.066527627595265;0.00746975815452764;-0.0033968401360425;0.000350357763327509;1;-0.079425998247825;-0.0033968401360425;0.00319216766075845;0;-0.000272529645387443;100;1;1.2;251;0.00508266362062349;0.000350357763327509
-0.0359193299959752;0.00159812815873643;-0.000474143334548497;0.000157944168563348;1;0.0104697073611218;-0.000474143334548501;0.00175983565435981;0;4.2475969097322e-05;100;1;1.2;251;0.0021811997904095;0.000157944168563348
0.0758814191756769;0.00267364322214611;-0.00701482434452905;1.58172994114362e-05;1;0.0518240325618018;-0.00701482434452905;0.00242187465119641;0;0.000211705822788716;100;1;1.2;251;0.00383424345484449;1.58172994114362e-05
0.0553510327845176;0.00897939102265283;-0.0134474706256689;0.000269123509611144;1;0.00141225797712548;-0.0134474706256689;0.00480393189064601;0;5.68744673847775e-06;100;1;1.2;251;0.011366056677218;0.000269123509611145
-0.0608998958610615;0.00383541677927373;-0.0107087697445161;2.5162445711137e-05;1;-0.0635811290099719;-0.0107087697445162;0.00293918008096397;0;-0.000253194495141836;100;1;1.2;251;0.00496710365647191;2.51624457111369e-05
0.0850451986953478;0.0014395903556821;0.00201162989128086;0.000199865095741704;1;0.00171455593123069;0.00201162989128086;0.0016581189929788;0;1.04355256923102e-05;100;1;1.2;251;0.00302113705422492;0.000199865095741704
