hateta3_wq_J;var_wq_J;hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;n;rho;alpha;jn;var_source_Gamma1_2;var_source_Gamma1_full
-0.000137974248382282;2.56395454168626e-07;0.999999999999996;0.000495416425913211;0.000116708605487986;4.0344683753016e-06;NaN;1.64543294868002e-09;100;1;2.8;398107;6.73880232522581e-06;6.7345985279691e-06
-0.000488934887295839;2.51964395280738e-07;0.999999999999996;-0.00136091391147924;-0.00159809915308131;2.89724634554847e-06;NaN;-2.38150616608098e-09;100;1;2.8;398107;4.96755335410454e-06;4.96903510558569e-06
0.00043545188862214;2.595799149409e-07;0.999999999999996;0.00136788879449249;0.00140015996191951;4.27238957069416e-06;NaN;3.48881164266056e-09;100;1;2.8;398107;6.39422156695461e-06;6.39526029247088e-06
0.000303993994212844;2.40133190357433e-07;0.999999999999996;-8.54545794409196e-05;0.000387747900617235;4.47242975992357e-06;NaN;1.32084910339138e-09;100;1;2.8;398107;7.77864582349093e-06;7.77846727046913e-06
-0.000140141929813459;2.49086525887741e-07;0.999999999999996;0.001686151837788;0.00131819034988525;3.75575488823889e-06;NaN;4.25435824115158e-09;100;1;2.8;398107;5.77790552124802e-06;5.77704126206654e-06
-0.000446012381215701;2.53591465228794e-07;0.999999999999996;-0.00308500113770241;-0.00302990775440212;2.92021604878802e-06;NaN;-7.69282452678418e-09;100;1;2.8;398107;4.28630665807913e-06;4.28509547044855e-06
0.00122476727019914;2.46937358156802e-07;0.999999999999996;-0.00150370645866688;-0.00160889367235844;2.90356126230663e-06;NaN;-3.59624910081737e-09;100;1;2.8;398107;4.63658341904251e-06;4.63761025923602e-06
-1.14132584141505e-05;2.61705983226913e-07;0.999999999999996;-6.57485456310121e-05;-0.000479519051646008;2.7178720783963e-06;NaN;1.58107606265738e-10;100;1;2.8;398107;4.6390474891971e-06;4.64311449633964e-06
-0.000449419837069297;2.67012897853657e-07;0.999999999999996;-0.00107746252028194;-0.00144666293284355;3.04343656122199e-06;NaN;-2.66500549929365e-09;100;1;2.8;398107;4.76001517737832e-06;4.77003366656991e-06
-0.00133005901295902;2.7266464514809e-07;0.999999999999996;-0.00330691479977509;-0.00293680922199644;2.41699435197402e-06;NaN;-8.25997841625719e-09;100;1;2.8;398107;3.92913933430208e-06;3.92303617846604e-06
