hateta3_wq_J;var_wq_J;hateta3_wq;var_wq;hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;n;rho;alpha;jn;var_source_Gamma1_2;var_source_Gamma1_full
-0.00572098764477655;1.99070510596972e-06;-0.00743590708626066;1.21105779579372e-05;0.999999999999996;-0.00712440893695708;-0.00743590708626066;8.23927375393949e-06;3.81343652093955e-10;-1.64604188322537e-08;100;1;2.8;398107;1.21775053211441e-05;1.21105779579374e-05
-0.00433194256109371;4.27587277856259e-06;-0.00866751683365273;0.000126249770154539;0.999999999999996;-0.00865565376402669;-0.00866751683365273;7.05094233242822e-05;-1.16743294154381e-10;-2.17413953629636e-08;100;1;2.8;398107;0.000126061593465413;0.000126249770154541
0.00105509746861768;3.80766407350039e-06;0.00196519429207796;0.000557579556686105;0.999999999999996;0.00315672151785354;0.00196519429207797;0.000298817455262206;-3.4246391388186e-10;7.96576014688501e-09;100;1;2.8;398107;0.000556357525693543;0.000557579556686115
-0.00290412382340245;1.44352777239959e-06;-0.00390493234489875;7.6654882665476e-05;0.999999999999996;-0.00497838508197136;-0.00390493234489875;4.2817907350094e-05;4.00443874520032e-11;-1.25003457656611e-08;100;1;2.8;398107;7.6777484263581e-05;7.66548826654773e-05
-0.0017116985415388;2.74858662958502e-06;-0.00208376446632876;0.000312816623526249;0.999999999999996;-0.00130798066514258;-0.00208376446632877;0.000168766773683203;-1.94481849063365e-10;-3.28180037445107e-09;100;1;2.8;398107;0.000313399084019994;0.000312816623526255
-0.00451726014024403;2.3023898409271e-06;-0.00659747080374845;4.98246866384257e-05;0.999999999999996;-0.00551090082543517;-0.00659747080374845;2.73353001642556e-05;-4.37539071419511e-11;-1.37590973639471e-08;100;1;2.8;398107;4.96693210927794e-05;4.98246866384266e-05
0.0291939642228406;5.0276357254935e-06;0.0359295381861632;0.00232997470537939;0.999999999999996;0.0341630902687305;0.0359295381861632;0.00132535545344534;-4.18720536341107e-09;8.7062467644792e-08;100;1;2.8;398107;0.00234129431526952;0.00232997470537943
-0.0127346825747477;4.13338985482948e-06;-0.0116993737074279;7.47458275355893e-05;0.999999999999996;-0.0122090263565295;-0.0116993737074279;4.76557767856786e-05;-4.9881661717487e-11;-3.04087717190958e-08;100;1;2.8;398107;7.47054753032565e-05;7.47458275355906e-05
-0.00410986685432288;3.73857751728464e-06;-0.00813047093449633;0.0002294903112111;0.999999999999996;-0.00703266537629605;-0.00813047093449633;0.000126180938637351;2.11164095909305e-10;-1.71161917038504e-08;100;1;2.8;398107;0.000228328200375372;0.000229490311211104
-0.00448996160373104;1.88432965240367e-06;-0.00867627234728829;2.04074437267622e-05;0.999999999999996;-0.0085311569598031;-0.00867627234728829;1.27468129551072e-05;5.53380059865932e-10;-2.08328000671899e-08;100;1;2.8;398107;2.03410541045956e-05;2.04074437267625e-05
0.000823917913998788;2.04587192566297e-06;0.000577334693673207;0.000234777054671137;0.999999999999996;0.00175827143470637;0.000577334693673209;0.000133620705440518;-7.83162522165665e-10;4.54140143069258e-09;100;1;2.8;398107;0.000233843282183773;0.000234777054671141
0.02024048930655;3.54914759059438e-06;0.0229459235207514;0.00149663424736335;0.999999999999996;0.0235553484176706;0.0229459235207514;0.000854831600091843;-1.6792128803519e-09;6.08353535352215e-08;100;1;2.8;398107;0.00149147360718059;0.00149663424736338
-0.0180749278884133;7.16590981020418e-06;-0.0147247694874858;6.10170445087452e-05;0.999999999999996;-0.0122737436374486;-0.0147247694874858;2.7012546557471e-05;2.79574916760934e-10;-3.05907569512935e-08;100;1;2.8;398107;6.10653218922319e-05;6.10170445087463e-05
-0.000874379471886836;2.10532572817805e-06;-0.00289408110191251;0.000193215377685265;0.999999999999996;-0.00390914617035196;-0.00289408110191252;9.85591512026781e-05;-8.59474905519125e-10;-9.26389593107248e-09;100;1;2.8;398107;0.000193947931486527;0.000193215377685268
-0.00622438541512346;2.82902906376937e-06;-0.0070185661487554;0.00013734184567482;0.999999999999996;-0.00838131158678547;-0.00701856614875541;7.38714924181278e-05;-7.72938879034495e-11;-2.10159673830202e-08;100;1;2.8;398107;0.000137795584239736;0.000137341845674822
0.0155217469529322;2.89566248194808e-06;0.013689036574042;0.000906097040066804;0.999999999999996;0.0143932043581003;0.013689036574042;0.000513310855134903;9.62233169514894e-10;3.67998068937267e-08;100;1;2.8;398107;0.000904221432517886;0.000906097040066819
-0.00915364898452209;5.61429532319401e-06;-0.0165907251009665;5.00995401557253e-05;0.999999999999996;-0.0187194712220314;-0.0165907251009665;3.81310901694844e-05;6.71256865851413e-10;-4.6608611389674e-08;100;1;2.8;398107;5.02367780472085e-05;5.00995401557263e-05
0.00374138574258448;6.10087462822162e-06;0.00139031113083324;0.000913029727822048;0.999999999999996;0.00128651764953054;0.00139031113083325;0.00052025465289724;-1.77830853651822e-09;3.28219806975208e-09;100;1;2.8;398107;0.000911244161532348;0.000913029727822064
0.00958282744041234;4.55550510221981e-06;0.0129222307095157;0.00116838551884401;0.999999999999996;0.0129084769057331;0.0129222307095157;0.000665979519441655;-2.08729331031305e-09;3.26741243795984e-08;100;1;2.8;398107;0.00116327864845164;0.00116838551884403
-0.00956522892792568;2.62814924377121e-06;-0.00786199738943531;2.97533897657947e-05;0.999999999999996;-0.00848735372724025;-0.00786199738943531;2.06919382867729e-05;3.95320029851197e-10;-2.11240367244599e-08;100;1;2.8;398107;2.97444316419594e-05;2.97533897657952e-05
-0.0059970056178182;3.02272158437239e-06;-0.00730151894897622;6.6049815262334e-05;0.999999999999996;-0.00728858909474753;-0.00730151894897621;3.6998386216754e-05;-9.39951772053476e-10;-1.69412514801823e-08;100;1;2.8;398107;6.61051379371341e-05;6.60498152623351e-05
-0.000629466168196689;1.31735774631358e-06;-0.00395770012151603;5.12130533066866e-05;0.999999999999996;-0.00367255158863872;-0.00395770012151603;2.7446935877462e-05;5.96954785955888e-12;-8.69272508607828e-09;100;1;2.8;398107;5.1182413435781e-05;5.12130533066875e-05
0.0038052911988516;5.42238547880014e-08;0.00456468321910099;2.25344100076318e-05;0.498884552372839;0.0181221148228045;0.00456468321910099;0.000208067064267602;2.59064064016413e-10;2.70699284832495e-08;200;0.5;2.8;2772579;0.00036436915482502;0.0003637859868511
