hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;jn;var_source_Gamma1_2;var_source_Gamma1_full;hatrho_J2;hateta3_J2;hateta3_full2;var2_source_Gamma1;var2_source_Gamma2;var2_source_Gamma3;jn2;var2_source_Gamma1_2;var2_source_Gamma1_full;n1;n2;rho1;rho2;alpha;r
0.401560737119221;0.0138621301521948;1.50140057651965e-05;0.00127667115311894;0.0014530400171621;8.27963130121146e-06;10636;0.000364062889936105;3.38932412556293e-05;0.497903660886311;-0.00737357414922523;0.0026448172212706;0.00101776680471082;0.00345073364992796;-1.35031843469434e-06;21625;0.000309228989917243;0.000260416946602559;200;300;0.4;0.5;1.75;3
0.400150432493421;0.0295037282392889;1.91928951595853e-07;0.00214715654329197;0.000520393873042828;1.74267335539601e-05;10636;0.000578381444039131;0.000114779344846029;0.496840077071282;0.021561845405723;2.87251431282277e-05;0.000588372140494466;0.00130789622664411;4.06689249446595e-06;21625;0.00018304641511764;6.27642070950874e-05;200;300;0.4;0.5;1.75;3
0.395543437382477;0.002639885894887;0.000103287351415699;0.00244511159289884;0.011700163483661;1.80894018708152e-06;10636;0.000691864987056728;0.000154989750818548;0.497680154142573;0.0155962452281633;0.00459876700874061;0.0010175136705244;0.00323808852602294;2.91181812523851e-06;21625;0.000237007546529227;0.00034869795515283;200;300;0.4;0.5;1.75;3
0.402218879277926;0.0401544604483685;0.000513125706130136;0.00164295728163385;0.000852053608487035;2.338707860101e-05;10636;0.000509175178787725;0.000171674424935138;0.498427745664731;-0.00911153631227599;-0.000470367523165596;0.000760733357532268;0.00281101182938247;-1.69024483415538e-06;21625;0.000250051181864521;3.66508009736827e-05;200;300;0.4;0.5;1.75;3
0.397157452676447;-0.0615151137627973;-0.00071239489716192;0.00347807027113993;0.00605192291090626;-3.6583565474075e-05;10636;0.000986778878335899;2.70515845449359e-05;0.500886319845848;0.0167823893053566;0.000603679857874028;0.000689818622558667;0.00222618219368844;3.09455961923565e-06;21625;0.000249840731653723;9.73135933274268e-05;200;300;0.4;0.5;1.75;3
0.401780117838789;-0.00563372205956948;-0.00101065746419778;0.00212018225610996;0.00808058345529899;-3.01501497653206e-06;10636;0.000735171281638071;1.4297613666778e-05;0.50080154142581;0.0306498342606699;-0.000220814176789567;0.000434158220515259;0.0010757532936352;5.66904558383583e-06;21625;0.000139451909068216;1.97906247101598e-05;200;300;0.4;0.5;1.75;3
0.400730224395138;-0.0311478750053026;-0.00016388605372121;0.00127593281520089;0.00191997202305815;-1.77907348817421e-05;10636;0.000450944960849665;1.19996493754533e-05;0.495807321772631;-0.00976943782946407;-0.000926108181828118;0.000658498090237479;0.000775553103612195;-1.79906241652105e-06;21625;0.00021127186511726;3.82719797340547e-06;200;300;0.4;0.5;1.75;3
0.396201579541183;0.0329239243246771;-0.000900505812913611;0.00197956723818739;0.000834845365395758;1.97800834281636e-05;10636;0.000657266252982113;7.25071048267033e-06;0.502134874759144;-0.0143875326895202;-0.0004057424269976;0.000613421641367908;0.00038699123677295;-2.60534723525767e-06;21625;0.000198153271957517;2.80703852332295e-05;200;300;0.4;0.5;1.75;3
0.396609000877525;-0.00659497096029378;-0.000345995669827868;0.00146593810352845;0.000109629048788357;-3.94109689308154e-06;10636;0.000599163541198319;6.33335671918924e-05;0.500562620423883;-0.00649178266423582;1.9076400691897e-05;0.000322342330080502;0.000660683727480247;-1.1980912988183e-06;21625;0.000116099134842204;1.5567901361396e-05;200;300;0.4;0.5;1.75;3
0.404600727090387;-0.0162827763703922;0.000766985944160871;0.0019972510382701;0.00347796417214842;-9.25058347366976e-06;10636;0.0006961852389022;0.000197254508316289;0.500262042389201;0.0115742843325651;-0.000380983166717034;0.000631180791594999;0.00257526025764064;2.14065110578497e-06;21625;0.000224481660027075;4.27157515153762e-05;200;300;0.4;0.5;1.75;3
0.399884041619659;-0.0099291312258001;-0.00016279429616996;0.00188903877253581;0.00454438446284515;-5.74991215150287e-06;10636;0.000647649242934217;0.000147156692621253;0.498982658959528;-0.0122939250251767;-0.00115570973516319;0.00096008312012803;0.00217106437440268;-2.25766987277841e-06;21625;0.000323810769914427;8.87316246565811e-06;200;300;0.4;0.5;1.75;3
0.402751661025451;-0.0189506912298891;-0.000584117876356578;0.00230940925235734;0.00404648285242357;-1.09753076352301e-05;10636;0.000596413330293027;6.74261604058606e-05;0.500739884393055;0.0154383023464356;-0.000757919880299171;0.000791496453739964;0.000850580628470569;2.87161699065935e-06;21625;0.000259228301091658;1.21322740683182e-05;200;300;0.4;0.5;1.75;3
0.409270402406923;-0.0225643769068786;0.000754028197503177;0.00294063355468219;0.00361717463083601;-1.23145314987806e-05;10636;0.000867386005514178;0.000240316684237235;0.502905587668584;-0.0236227931373866;-0.000675482016568017;0.000376975992654912;0.000283302956973663;-4.28605993436336e-06;21625;0.000122811353348607;5.49532189798635e-06;200;300;0.4;0.5;1.75;3
0.398740127867622;0.00481834952129321;6.3815646051928e-05;0.0014608145411632;0.00282969109502007;2.86091736275452e-06;10636;0.000426059029762597;5.62922612173099e-05;0.503599229287081;0.00163961917009402;-0.000481607848179406;0.00135162394412533;0.000913425457708618;3.03036812035514e-07;21625;0.000361627040220358;5.39054600873678e-05;200;300;0.4;0.5;1.75;3
0.399601980694499;0.00684645774357789;8.13054831827479e-05;0.00247978162346847;0.0052315880839801;4.08685515556179e-06;10636;0.000660350566446192;8.90875612973027e-05;0.49758766859344;0.00870539769950787;-0.000171794472400003;0.000578852962845016;0.000174125519022083;1.65308041930959e-06;21625;0.000173334037496291;1.46008146463058e-05;200;300;0.4;0.5;1.75;3
0.399445280180522;-0.00140981077309377;0.0011238734946818;0.0028227184768912;0.0030294706754352;-8.30677038628478e-07;10636;0.000791570855096252;0.000283043406959997;0.500238921001918;-0.0134588018074543;0.00210614977361037;0.000736324868775453;0.00138444180646647;-2.43701084304261e-06;21625;0.000233824515305223;0.000150786624570151;200;300;0.4;0.5;1.75;3
0.402062178763949;0.0219386373902804;-0.000284067593500926;0.00170111459704666;0.00291177890554327;1.27975772804738e-05;10636;0.000561198739007176;7.77973057048897e-06;0.500292870905579;-0.0279812751764855;-0.000259443655751576;0.000928167112406475;0.00196234621768565;-5.15929831714686e-06;21625;0.000259390177602295;4.40680816244067e-05;200;300;0.4;0.5;1.75;3
0.404381346370818;0.0190866969606306;0.000357638014796839;0.00111381584615886;0.0021691372905219;1.09779267538476e-05;10636;0.000360693028066728;4.88539637490538e-05;0.49811175337186;-0.00246090393605968;-0.000449447131065893;0.00065749750105051;0.000372508137163243;-4.55040165195529e-07;21625;0.00019776492410988;1.50691927959816e-05;200;300;0.4;0.5;1.75;3
0.401607747273414;0.00244413397794878;-0.000319352654056248;0.00119438908963581;0.00431708593886393;1.50799999692098e-06;10636;0.000430481210250574;3.58344253900804e-05;0.503344894026966;-0.000335874115814366;-0.000343211452864607;0.000590641976593181;0.000412706096484783;1.51654354590871e-08;21625;0.000183454944577031;2.46611876875067e-06;200;300;0.4;0.5;1.75;3
0.401968158455562;0.0113475882113241;-0.000496461183867953;0.00237282716555558;0.000381870223004294;6.64933194283945e-06;10636;0.000677565067602712;9.53383609060419e-06;0.502813102119451;-0.00230032949150814;-0.000792193064713357;0.000432126382882194;0.000378752643856423;-4.15495727821735e-07;21625;0.000152294275930529;2.94244623303529e-06;200;300;0.4;0.5;1.75;3
0.402062178763949;-0.025989774494307;0.000569259685093498;0.00131474928884745;0.00215344411845608;-1.50729137217234e-05;10636;0.000587907231986625;0.000129384599600933;0.497965317919066;0.0110002274673505;-1.34745775409939e-05;0.000711722002522895;0.00189977378346568;2.05553956259663e-06;21625;0.000230672630040404;4.65460631297701e-05;200;300;0.4;0.5;1.75;3
0.400808574652127;-0.0284007347655687;-0.000944830116758367;0.00202592177390662;0.00657038847970295;-1.63562724975944e-05;10636;0.000672958168754841;5.57463573461427e-05;0.500901734104037;0.0114289749161529;-0.000124001392978571;0.000439833319185981;0.000578020788742626;2.15457297346428e-06;21625;0.000173447632717231;2.82570792012041e-05;200;300;0.4;0.5;1.75;3
0.401952488404165;-0.020892750933569;-0.000732666870386328;0.00177244059555882;0.0031722132843683;-1.21241324668764e-05;10636;0.000717508625421336;9.36567196347926e-06;0.501371868978796;-0.00560814893305383;9.02395529636904e-05;0.000657227258965943;0.000463086897704695;-1.03056554317287e-06;21625;0.000166196082488313;3.92977522063822e-05;200;300;0.4;0.5;1.75;3
0.398442396891064;0.0270608342843038;0.00112772172186039;0.00227261090453788;0.00104855904648395;1.63455511399253e-05;10636;0.000630754359783763;0.000241496709518322;0.49858188824662;0.0209016173797099;0.000263962279496269;0.000663067452480148;0.000756657787749512;3.90119795566883e-06;21625;0.00019017888512412;5.05636041534265e-05;200;300;0.4;0.5;1.75;3
0.401263006142663;0.0311069173762761;0.00129073508865623;0.00135964908203292;0.00310794243483127;1.84939583637015e-05;10636;0.0003730809842095;0.000146296603359388;0.498142581888237;0.0263534072682696;0.000114458142476012;0.00109698894772045;0.00298213743291214;4.93143952288094e-06;21625;0.000301323479477009;0.00010495921446213;200;300;0.4;0.5;1.75;3
0.405572270277049;0.0148159502845127;-0.000668199096909422;0.00177018373788246;0.00446564512120559;8.52757502942235e-06;10636;0.000633601749567311;5.58731455389896e-06;0.501957610789971;0.0193668558807947;0.00324283401403644;0.000569353890496519;0.00117755684456933;3.60995509406351e-06;21625;0.000162954620685218;0.000171328259774987;200;300;0.4;0.5;1.75;3
