hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;n;rho;alpha;jn;var_source_Gamma1_2;var_source_Gamma1_full
0.201485520872507;0.418063738868719;0.014673914456813;0.0395088567563999;0.0491602822748309;0.00120543824383806;200;0.2;1.75;10636;0.00749143867777736;0.00995262902657784
0.196314403911244;0.893393800263378;0.0234501234427851;0.125575698449298;0.0945187618624935;0.00297639059305917;200;0.2;1.75;10636;0.0149557305234876;0.019207510358857
0.197019556224144;0.345680382159752;0.0164804867435644;0.0406032796056558;0.0342441482163012;0.0012491109525042;200;0.2;1.75;10636;0.0104935504018539;0.0130798171479193
0.200043876143913;0.537900201359062;0.0231666819779751;0.0496266548356529;0.0308483290873397;0.00215566640089772;200;0.2;1.75;10636;0.009546801717428;0.0136945638994539
0.200890058919392;0.531612688880782;0.0191408620428231;0.0790387174888794;0.0389380924235714;0.0018114784709939;200;0.2;1.75;10636;0.0131351502149451;0.0127761091095511
0.201704901592076;0.448245203869431;0.020194508018407;0.0542209672532432;0.0369005329021458;0.00165871732318657;200;0.2;1.75;10636;0.0104039737572863;0.0169581855365433
0.2022376833396;0.79898961664248;0.0205130805095822;0.103705238402736;0.011768390513975;0.00221907848023707;200;0.2;1.75;10636;0.0151207414616847;0.0212975056021483
0.200106556349504;0.498016076404842;0.0188597372734417;0.0482289875958736;0.0487693728749959;0.00178525382190551;200;0.2;1.75;10636;0.00966900494500293;0.0134674791210056
0.201783251849065;0.255594337168694;0.0167766803752133;0.0317702068517731;0.111142106371279;0.0010804421071878;200;0.2;1.75;10636;0.00654340487025089;0.00927142149866945
0.203522627554217;0.311476648953769;0.013135514609324;0.0473525449967268;0.00917953079700473;0.000964787917492085;200;0.2;1.75;10636;0.00968760837894674;0.00822024667351076
0.202645104675942;0.464924261621776;0.0207856724835481;0.0572285368134737;0.0500861565667155;0.0017080352212653;200;0.2;1.75;10636;0.0127872899820527;0.0151588396579458
0.198194810078976;0.371512293242338;0.0185948071215474;0.0558412618295264;0.0633517427508289;0.0015039512785016;200;0.2;1.75;10636;0.00953565344289315;0.01114888476347
0.201986962517236;0.424360960806281;0.0187395860515376;0.0277644052959673;0.146655905366223;0.00151404034083194;200;0.2;1.75;10636;0.00654120673905676;0.0119017340310988
0.199072332957251;0.710145768108542;0.028821827798371;0.0898563432289354;0.0479303403793199;0.00272207525992482;200;0.2;1.75;10636;0.0177438267994706;0.0258377359384234
0.200874388867994;0.390845796512235;0.0167422402388643;0.0542441170537144;0.0627424034350218;0.00132866043260489;200;0.2;1.75;10636;0.013459049679025;0.013232326163311
