hateta3_wq_J;var_wq_J;hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;n;rho;alpha;jn;var_source_Gamma1_2;var_source_Gamma1_full
0;0;0.201485520872507;-0.0273459513073523;6.98213836054212e-05;0.00208120253282843;0.00164270542781394;-6.06777810370518e-05;200;0.2;1.75;10636;0.000692742899820435;1.6998076624022e-05
0;0;0.196314403911244;-0.022788147520255;8.20057696963784e-05;0.00250841026185956;0.00201309430452572;-5.43899351529092e-05;200;0.2;1.75;10636;0.000770980636370337;2.0671838862635e-05
0;0;0.197019556224144;-0.0198869808558228;8.05536298949496e-05;0.00241615472429056;0.000123681571216266;-4.78916747930214e-05;200;0.2;1.75;10636;0.000836238942143679;2.31550153272709e-05
0;0;0.200043876143913;-0.0123402634127014;-3.16672738413444e-05;0.00178391536447567;0.00563426036525889;-2.86128432326662e-05;200;0.2;1.75;10636;0.00066568531347951;2.04163677857735e-05
0;0;0.200890058919392;-0.00656310882533685;7.63800583337831e-05;0.00210373813038394;0.00141346847060464;-1.49579571172896e-05;200;0.2;1.75;10636;0.000754427511886262;2.10521268166374e-05
0;0;0.201704901592076;-0.0111152990343917;-9.81275483868082e-05;0.00245117324005481;0.000408188345108336;-2.5650458999895e-05;200;0.2;1.75;10636;0.000783423975251096;1.89422946943236e-05
0;0;0.2022376833396;-7.06218489347473e-05;9.59132311028248e-05;0.00238244257430145;0.00254210149000234;7.50544943605071e-07;200;0.2;1.75;10636;0.000831118701627424;2.20516523762939e-05
0;0;0.200106556349504;-0.00241619208675049;-2.11019086319947e-05;0.00296300152564417;0.00337191662856815;-5.66848435414426e-06;200;0.2;1.75;10636;0.000750316007158437;1.78318210002886e-05
0;0;0.201783251849065;0.00696168436540983;2.75668731331069e-05;0.00253037559381174;0.00276245690145474;1.80765008660335e-05;200;0.2;1.75;10636;0.000788405429105005;2.12848463660142e-05
0;0;0.203522627554217;0.0327184741446633;-9.6542174396183e-05;0.00213541975531128;0.00891752318453299;7.43537768503591e-05;200;0.2;1.75;10636;0.000823354797860135;1.77927609077596e-05
0;0;0.202645104675942;0.079183217268173;8.59820646050347e-05;0.00226470731027674;0.00220235409571657;0.000181801814214798;200;0.2;1.75;10636;0.00076359385115918;1.92556005517222e-05
0;0;0.198194810078976;0.0662493586241627;-2.1152462126523e-05;0.00242670194135574;0.00236216912423797;0.000160055290738215;200;0.2;1.75;10636;0.00081515507537494;1.96946992619778e-05
0;0;0.201986962517236;-0.0311177686021947;6.61965995250143e-05;0.00243152800784511;0.00289787677910106;-7.12049780393595e-05;200;0.2;1.75;10636;0.000821906131296113;2.09736029986814e-05
0;0;0.199072332957251;0.00502291178138833;-7.7105493715449e-06;0.00280751994920097;0.00890681431875048;1.19167252209516e-05;200;0.2;1.75;10636;0.000840583573410574;2.01849033871519e-05
0;0;0.200874388867994;0.030453092574069;5.69369827643255e-05;0.00258320861050262;0.0068550950722253;7.10023732114572e-05;200;0.2;1.75;10636;0.000842382097253718;2.15302419825386e-05
0;0;0.202833145292715;0.0342951476385435;6.10269990381458e-05;0.00204036160707779;0.000979372906511429;7.85189698769375e-05;200;0.2;1.75;10636;0.000711750066476304;1.85106660241517e-05
0;0;0.198210480130374;-0.00126805910932153;-1.90525721730145e-05;0.0024000291803238;0.00290531039633088;-3.01835040969206e-06;200;0.2;1.75;10636;0.00082239270427047;1.73222065173693e-05
0;0;0.201673561489281;-0.0264515905464766;-9.60057151335389e-05;0.00228070391142866;0.0034285866901361;-6.11406244703228e-05;200;0.2;1.75;10636;0.000704419380003457;1.64813161045581e-05
0;0;0.205262003259369;0.0393905619702912;0.000399180304797431;0.0027248867049806;0.00594210138927525;8.81056004150031e-05;200;0.2;1.75;10636;0.000876926976707851;2.74596306051764e-05
0;0;0.197662028331452;0.0205592732337542;-5.80022094477066e-05;0.00219985380041387;0.00378926054513813;4.96782995977893e-05;200;0.2;1.75;10636;0.000642082799945138;1.92198365032851e-05
0;0;0.20350695750282;-0.0268327048676037;-3.79689371588995e-05;0.00210653207303131;0.000457224886595474;-6.06764599592165e-05;200;0.2;1.75;10636;0.000739218658906295;1.64103423134748e-05
0;0;0.202316033596589;-0.0259218472619781;-1.60975096721002e-05;0.00191367320943504;0.00650359849865083;-5.95228176013174e-05;200;0.2;1.75;10636;0.000670619763107311;1.71868901071932e-05
0;0;0.19886862228908;0.0115356197724094;0.000159769306768366;0.00204417343184266;0.00220437361637065;2.82269805930592e-05;200;0.2;1.75;10636;0.000781639171307687;2.23755660448737e-05
