hateta3_wq_J;var_wq_J;hateta3_wq;var_wq;hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;n;rho;alpha;jn;var_source_Gamma1_2;var_source_Gamma1_full
0.0907397618165398;6.70896173327899e-06;0.0908056015015564;0.000623800018399505;0.500586258493375;0.352115672001392;0.0908056015015565;0.0190917351095082;NaN;0.00014002817639174;200;0.5;2.1;67945;0.010013107789795;0.00993412655738112
0.178324897654991;1.85543796671383e-05;0.193628275101269;0.00300531171454502;0.500675791694247;0.745986779303264;0.193628275101269;0.0688001107531691;NaN;0.000212927715413347;200;0.5;2.1;67945;0.0484596867510803;0.0478258999886533
0.148740068521835;1.37933974735561e-05;0.158091310831861;0.00209763250772598;0.500347094463645;0.612141800005432;0.158091310831861;0.0500412296115733;NaN;0.000183834163700195;200;0.5;2.1;67945;0.0335347083499493;0.0334690878259488
0.159142882310836;1.67805723258941e-05;0.166929690863331;0.00250907573409935;0.501238747025766;0.653056668047704;0.166929690863332;0.0577518455190414;NaN;0.000181173583886092;200;0.5;2.1;67945;0.0403540353740862;0.0397498255992967
0.131959738980551;1.1372703716717e-05;0.137953313347357;0.00145443890817393;0.503158191674623;0.553640869852563;0.137953313347357;0.0400012660413581;NaN;0.000172200263069297;200;0.5;2.1;67945;0.0227316499648712;0.0226922360997721
0.127496941806686;1.14932697905668e-05;0.135921038629266;0.00129041874312719;0.500659847425597;0.544892934961598;0.135921038629266;0.0375981847845956;NaN;0.000169657406645922;200;0.5;2.1;67945;0.0208005725011918;0.0205380691507793
0.0796085083212198;7.27650722177481e-06;0.0812261790782245;0.000622691410894304;0.499188068781107;0.319614218133002;0.0812261790782244;0.0176011088512781;NaN;0.000127097075695983;200;0.5;2.1;67945;0.00999286873195101;0.0100280407212054
0.104812129066174;1.1257247900282e-05;0.107554511716812;0.00138109842069746;0.498616528074162;0.42006675591178;0.107554511716812;0.0321968429124609;NaN;0.000144284443134318;200;0.5;2.1;67945;0.0226756072202118;0.0223438469185237
0.14157112602191;1.5307678552951e-05;0.144238596483509;0.00179648221609226;0.499450535972709;0.595881731704407;0.144238596483509;0.046959787049674;NaN;0.000184863746774666;200;0.5;2.1;67945;0.0286710450898306;0.0288704124445355
0.0872232267948646;6.79941256940434e-06;0.0874302184189436;0.000634453323372575;0.500100571540693;0.373464430861304;0.0874302184189437;0.0217994246855592;NaN;0.000134405436075451;200;0.5;2.1;67945;0.0099387229776967;0.0101430898619849
0.128352954336774;1.46182825797864e-05;0.131207770887392;0.00222675656860495;0.501928030024268;0.524363364261688;0.131207770887393;0.0486950386636553;NaN;0.00015412977800967;200;0.5;2.1;67945;0.0353515362900813;0.035083825679046
0.168322766611346;1.51696413446225e-05;0.178243891491874;0.00186607134222315;0.502963181004228;0.686545537015467;0.178243891491874;0.0522473173143278;NaN;0.000202884646474597;200;0.5;2.1;67945;0.0288434312277327;0.0291597279004956
0.0817831325076584;7.15387492552338e-06;0.0845005808826886;0.000712783148979038;0.499773100792293;0.327627899182406;0.084500580882689;0.0192614492096143;NaN;0.000136348858205133;200;0.5;2.1;67945;0.0116035077037306;0.0114252553219554
0.112487106243744;9.63468670773238e-06;0.114407239373419;0.00116941966604889;0.503018372703396;0.44678337755707;0.114407239373419;0.0302661101131186;NaN;0.000150853087024644;200;0.5;2.1;67945;0.0185011643535015;0.0182656445244897
0.204585848854497;2.24664847499117e-05;0.225474311535343;0.00383513323162119;0.493086319817486;0.913302243114728;0.225474311535343;0.0949849116674061;NaN;0.000241381922903365;200;0.5;2.1;67945;0.0654744574050831;0.0648766836016384
0.0993696343098477;1.31708877398118e-05;0.100268128605887;0.00148134843784884;0.499112026884475;0.395176426283403;0.100268128605887;0.0321573824498638;NaN;0.000133132394541485;200;0.5;2.1;67945;0.0233936336814048;0.023870696104382
0.104330628084926;1.03479252964405e-05;0.110096569205859;0.00112365240462378;0.494558098461977;0.447252818744633;0.110096569205859;0.0304277838788757;NaN;0.000157417316100765;200;0.5;2.1;67945;0.018755013843291;0.0187829029243567
0.0990897223888349;1.01167704353598e-05;0.10137474792909;0.00101480699729678;0.501891235558157;0.407179462782785;0.10137474792909;0.0272175218010217;NaN;0.000145150638003451;200;0.5;2.1;67945;0.0158689097362063;0.0159935549260543
0.169436695044013;1.70801913206974e-05;0.182586080757832;0.00274745225426583;0.499260431231127;0.74607365194363;0.182586080757832;0.0674264662807153;NaN;0.000204780368016256;200;0.5;2.1;67945;0.0438778625315303;0.04422028770679
0.136300414188895;1.27319103244407e-05;0.144352333084704;0.00153129437525909;0.499487330438822;0.581449793246161;0.144352333084705;0.0423234281952127;NaN;0.000179448280673727;200;0.5;2.1;67945;0.0244047341799942;0.0246014542602233
0.11710142146514;1.10490984143651e-05;0.114301054030367;0.00130575739677087;0.499299678661648;0.461148674843681;0.114301054030367;0.0352836891793686;NaN;0.00015296600170331;200;0.5;2.1;67945;0.0209641582287294;0.0210095789311137
0.09855011653584;9.70857645659481e-06;0.100853450353195;0.00121882808898802;0.501783305124227;0.389461577411241;0.100853450353195;0.0289776737335437;NaN;0.000139841347845664;200;0.5;2.1;67945;0.0191918208395212;0.0192254991111832
0.109921773108373;1.20329512428325e-05;0.106683483588441;0.00130040523485503;0.501405548605475;0.437220984980936;0.106683483588441;0.0336843031212033;NaN;0.000143329407172278;200;0.5;2.1;67945;0.0205101162621276;0.0205741625491958
0.195962548788107;2.3184401566851e-05;0.20602127539919;0.003381783810574;0.500912502759569;0.82835138820874;0.20602127539919;0.0827078575035106;NaN;0.000219889245179788;200;0.5;2.1;67945;0.0544392692956453;0.053715343032102
0.0674853926277696;6.30272850290445e-06;0.0621335771033228;0.000465295241504662;0.498963622537822;0.265986187973685;0.0621335771033233;0.0160248011981917;NaN;0.000118406067109039;200;0.5;2.1;67945;0.00744217355280513;0.00750676939567217
0.0990213138108184;7.77814266024107e-06;0.0997409442347135;0.00074732566680798;0.496629626904099;0.409203744105865;0.0997409442347135;0.0241991243288313;NaN;0.000149899530042331;200;0.5;2.1;67945;0.0123404089384641;0.0122851199541155
0.146778193436089;1.26290368237686e-05;0.150943403220164;0.0014820615591688;0.498693796452999;0.603023575350222;0.150943403220164;0.043284311202506;NaN;0.000195580543763099;200;0.5;2.1;67945;0.0241988842283982;0.0239624036545532
